空白qqpp,2,10,好评,很好 值得一看
木筱奈,0,10,好评,真的好好看啊啊啊
琴心,1,9,好评,非常精彩，令人震撼。
🌂天天向上😊,1,10,好评,好看 国漫崛起
Monster.,0,10,好评,很好看给人的感觉很好
rrS686390615,0,9,好评,真心不错，可惜想看哪吒长大的那个样子，太短了
天河神将,1,9,好评,好看，剧情很喜欢
A_佛爷、,1,10,好评,为中国加油。
yonxi,0,9,好评,特别好，特别好，特别好
Night,1,10,好评,故事结构有层次不紊乱，人物性格鲜明有记忆点，特效经得起大屏幕的检验。
一只傻林少,1,10,好评,片子特别好看
maldivett,0,10,好评,。。。挺好的
.。,0,10,好评,整挺好。。。
chenlunfu0208,1,9,好评,不错😊哈好
机智的刘小鹿,0,10,好评,哪吒的故事是我们90后的青春，无论是小时候看过的哪个版本，都让我们感受到那种母子情深，还有他那如火般的正义感，这个版本的哪吒补全了以往版本很多缺少的东西，比如描写了李靖对儿子那如山般的爱，还有哪吒更强烈的叛逆，更加真实的表现了一个孩子从小被排斥对待的情感反应，故事的最后更有热血漫的桥段展现，“若命运不公，那就和他斗到底”，致敬所有不服命运而奋斗着的人们，可以看的出作者的野心之大，想构筑出一篇新的故事，不同于以往的哪吒，当真国漫之光啊！
杨谨婕了啦,2,10,好评,土拨鼠尖叫！！！也好看了吧！！！放映结束观众全体鼓掌！！！哪吒小爷太值了！！！跟敖丙CP我磕了！！！
陈圈圈,0,10,好评,“申公公，你也在呀？“不好意思我真的笑喷了！
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2,8,好评,非常好看的电影
蓮生叁拾贰,0,10,好评,啥都不说了，期待姜子牙
香菇青菜包,0,9,好评,"国漫新巅峰，无论技术还是情节。

影片在传统神话故事上做了很大的突破，情节和人物焕然一新！

虽然「我命由我不由天」的主题有点俗套，但讲的够燃够有趣够感动！！"
忆佰诗,1,10,好评,"这也太好看了吧！毫无疑问是我从小到大已来看过的最最优秀的动画片，不亚于心目中的“幽灵公主”。真正的有泪有笑毫无疑问！！这部电影绝对是中国动画电影的一座丰碑，他是一次对封神的挑战，是对我们每个人都无比熟悉的故事的一次改编。在故事上，改造一个人尽皆知的故事远比创新更难，而且还要改得好，改的精彩，更是需要绞尽脑汁的思考和夜以继日的奋斗，我想这也是他在我心中比大圣和大鱼更优秀的地方。
PS:我一个铁石心肠的人，观影过程中，落泪5次！！导演，你不是“人”！"
地平线的奇幻漂流,0,10,好评,前一段还真的笑得喘不过来气，到后面眼睛不时地湿润起来，真的是从骨子里的不认命，不信天命，真的就是中国人千百年来的血脉精神，值得一看，不进对孩子有更深的教育作用，真的是适合全部的中国人看
三天心情,2,9,好评,强烈推荐！帅爆了！藕霸和大圣有一拼！中国动画雄起！！！！！！
Jet98,1,9,好评,期待国产的封神宇宙！哪吒小爷本次表现可圈可点，酷，帅，有智商，有担当！希望票房大爆！在哪吒面前，谁也帅不起来！
hmj1977,0,10,好评,精彩！开创中国动画片记录！
A张思源三七产地直销批发,2,10,好评,确实挺好看的、老少皆宜
影儿的美食,2,8,好评,这月不错的，小成本电影啦
愁予,2,10,好评,炒鸡好看！！啊！！！敖丙太帅了
温暖的诗,1,2,差评,拉垃圾来咯咯摸摸
贾茹,2,10,好评,阔以，阔以有第二季么
低头、泪倾城灬,0,10,好评,最大的感受是感动
悠然7586,2,10,好评,好看，非常好看
走掉。,1,10,好评,太酷了，国漫加油
俺叫小6,1,9,好评,不错 特效做的很好
Molly0126,0,8,好评,挺好看的！！！！
赵雅洁15117057427,2,10,好评,特别好看，喜欢敖丙，希望哪吒和敖丙以后都能有个好结局。期待第二部。
Azazel,1,8,好评,很棒的国产动画！
曦曦💓,2,10,好评,好看励志精彩
水无月,2,10,好评,很棒，值得看。
机智的刘小鹿,0,10,好评,哪吒的故事是我们90后的青春，无论是小时候看过的哪个版本，都让我们感受到那种母子情深，还有他那如火般的正义感，这个版本的哪吒补全了以往版本很多缺少的东西，比如描写了李靖对儿子那如山般的爱，还有哪吒更强烈的叛逆，更加真实的表现了一个孩子从小被排斥对待的情感反应，故事的最后更有热血漫的桥段展现，“若命运不公，那就和他斗到底”，致敬所有不服命运而奋斗着的人们，可以看的出作者的野心之大，想构筑出一篇新的故事，不同于以往的哪吒，当真国漫之光啊！
杨谨婕了啦,2,10,好评,土拨鼠尖叫！！！也好看了吧！！！放映结束观众全体鼓掌！！！哪吒小爷太值了！！！跟敖丙CP我磕了！！！
陈圈圈,0,10,好评,“申公公，你也在呀？“不好意思我真的笑喷了！
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2,8,好评,非常好看的电影
蓮生叁拾贰,0,10,好评,啥都不说了，期待姜子牙
香菇青菜包,0,9,好评,"国漫新巅峰，无论技术还是情节。

影片在传统神话故事上做了很大的突破，情节和人物焕然一新！

虽然「我命由我不由天」的主题有点俗套，但讲的够燃够有趣够感动！！"
忆佰诗,1,10,好评,"这也太好看了吧！毫无疑问是我从小到大已来看过的最最优秀的动画片，不亚于心目中的“幽灵公主”。真正的有泪有笑毫无疑问！！这部电影绝对是中国动画电影的一座丰碑，他是一次对封神的挑战，是对我们每个人都无比熟悉的故事的一次改编。在故事上，改造一个人尽皆知的故事远比创新更难，而且还要改得好，改的精彩，更是需要绞尽脑汁的思考和夜以继日的奋斗，我想这也是他在我心中比大圣和大鱼更优秀的地方。
PS:我一个铁石心肠的人，观影过程中，落泪5次！！导演，你不是“人”！"
地平线的奇幻漂流,0,10,好评,前一段还真的笑得喘不过来气，到后面眼睛不时地湿润起来，真的是从骨子里的不认命，不信天命，真的就是中国人千百年来的血脉精神，值得一看，不进对孩子有更深的教育作用，真的是适合全部的中国人看
三天心情,2,9,好评,强烈推荐！帅爆了！藕霸和大圣有一拼！中国动画雄起！！！！！！
上心༈,1,10,好评,变身的哪吒帅，万龙甲太帅
Ple408801407,0,10,好评,太好看了(｡･ω･｡)ﾉ♡     特别是那句“申公公呢，你也在啊。”
昭,1,10,好评,特别棒 加油  期待下一部作品
石恽,2,9,好评,还好吧，有韩义的一个人
甜甜小怪,2,10,好评,含义深刻 引人遐想 细节处理也非常的完善 小哪吒幽默可爱与敖丙搭档起来震撼了全场 就是热血澎湃的感觉 在激动中也不失感动 整个电影院就是个飙泪现场 但是这泪会流的让人很舒服 总之 看完这场电影整个人都放松舒服得劲！太厉害了 太佩服了 这电影不看的话绝对后悔 票房第一 当之无愧
邻居是贞子,2,10,好评,全程土拨鼠叫，超喜欢中间抢笔的那里，不说了，这个电影太好康了我要去二刷三刷四刷…
空空狠如野,2,10,好评,"一直在等iMax降价，好去二刷。
这个作品有魔力。我明明记得吒儿刚出生就放火，抓鼻涕虫时也给百姓造成了更大的破坏。但是每当看到吒儿穿着小肚兜被打的肚子颤颤我就挺难受的……每天都要看看吒儿的票房有多少了，看周边……这热恋的心情也不知几时消褪。"
青衫依旧.bob,1,10,好评,绝对是中国动漫史上最震撼最伟大的一次巨作
